year,id_,educ,satjob,satfin,satsoc,satlife
2018,578,14,Moderately satisfied,Pretty well satisfied,Very good,Neither satisfied nor dissatisfied
2018,579,15,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,580,12,.i:  Inapplicable,More or less satisfied,Good,.i:  Inapplicable
2018,581,20,Very dissatisfied,Not satisfied at all,Very good,Somewhat dissatisfied
2018,582,12,A little dissatisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,583,12,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,584,12,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,585,12,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,586,7,Very satisfied,More or less satisfied,Fair,Somewhat satisfied
2018,587,17,Very satisfied,Not satisfied at all,Very good,Mostly satisfied
2018,588,15,Very satisfied,Not satisfied at all,Excellent,.i:  Inapplicable
2018,589,18,Very satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,590,14,Moderately satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,591,11,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,592,16,Very satisfied,Not satisfied at all,Excellent,Completely satisfied
2018,593,13,Very satisfied,More or less satisfied,Good,Completely satisfied
2018,594,12,Very satisfied,Not satisfied at all,Excellent,Completely satisfied
2018,595,16,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,596,14,Very satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,597,12,Moderately satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,598,16,Very satisfied,Pretty well satisfied,Very good,Completely satisfied
2018,599,19,Very satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,600,12,Moderately satisfied,More or less satisfied,Good,Mostly satisfied
2018,601,11,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,602,14,.i:  Inapplicable,Pretty well satisfied,Very good,.i:  Inapplicable
2018,603,13,Very satisfied,More or less satisfied,Good,Somewhat satisfied
2018,604,12,.i:  Inapplicable,Not satisfied at all,Fair,.i:  Inapplicable
2018,605,16,Very dissatisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,606,12,Moderately satisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,607,9,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,608,14,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,609,9,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,610,11,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,611,5,A little dissatisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,612,9,Very satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,613,10,Very satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,614,15,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,615,9,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,616,7,Very satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,617,14,.d:  Do not Know/Cannot Choose,Pretty well satisfied,Good,Completely satisfied
2018,618,12,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,619,16,Moderately satisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,620,12,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,621,16,Very satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,622,12,A little dissatisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,623,20,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,624,14,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,625,19,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,Excellent,.i:  Inapplicable
2018,626,15,Very satisfied,Not satisfied at all,Good,Mostly satisfied
2018,627,19,.i:  Inapplicable,Pretty well satisfied,Very good,.i:  Inapplicable
2018,628,20,Very satisfied,More or less satisfied,Fair,Mostly satisfied
2018,629,16,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,630,17,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,631,16,Moderately satisfied,More or less satisfied,Good,.n:  No answer
2018,632,12,A little dissatisfied,Not satisfied at all,Very good,Completely satisfied
2018,633,15,A little dissatisfied,More or less satisfied,Very good,Mostly satisfied
2018,634,15,Very satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,635,18,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,636,12,Moderately satisfied,Pretty well satisfied,Good,Somewhat satisfied
2018,637,12,Very satisfied,Pretty well satisfied,Good,Mostly satisfied
2018,638,12,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,639,13,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,640,12,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,641,16,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,642,14,Moderately satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,643,15,Very satisfied,Pretty well satisfied,Excellent,Mostly satisfied
2018,644,11,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,645,14,.i:  Inapplicable,More or less satisfied,Good,Somewhat satisfied
2018,646,18,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,647,14,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,648,11,Moderately satisfied,More or less satisfied,Very good,Completely satisfied
2018,649,6,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,650,3,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,651,9,.i:  Inapplicable,More or less satisfied,Poor,Somewhat dissatisfied
2018,652,12,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,653,19,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,654,16,A little dissatisfied,More or less satisfied,Very good,Somewhat satisfied
2018,655,12,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,656,16,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,657,12,Very satisfied,More or less satisfied,Excellent,Mostly satisfied
2018,658,14,Moderately satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,659,13,.n:  No answer,Not satisfied at all,Good,.i:  Inapplicable
2018,660,14,Very satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,661,13,Moderately satisfied,Not satisfied at all,Good,Neither satisfied nor dissatisfied
2018,662,13,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,663,12,Very dissatisfied,More or less satisfied,.n:  No answer,Somewhat satisfied
2018,664,15,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,665,16,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,666,16,A little dissatisfied,More or less satisfied,Very good,Somewhat satisfied
2018,667,14,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,668,17,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,669,13,.i:  Inapplicable,Pretty well satisfied,Very good,.i:  Inapplicable
2018,670,12,Very satisfied,More or less satisfied,Fair,Mostly satisfied
2018,671,16,Moderately satisfied,More or less satisfied,Very good,Completely satisfied
2018,672,12,Very satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,673,12,A little dissatisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,674,15,Moderately satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,675,14,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,676,14,Moderately satisfied,More or less satisfied,Fair,Neither satisfied nor dissatisfied
2018,677,14,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,678,13,.i:  Inapplicable,Not satisfied at all,Fair,.i:  Inapplicable
2018,679,12,Very dissatisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,680,15,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,681,15,Moderately satisfied,Not satisfied at all,Very good,Mostly satisfied
2018,682,15,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,683,16,A little dissatisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,684,3,.i:  Inapplicable,Pretty well satisfied,Good,Mostly satisfied
2018,685,12,Very satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,686,12,A little dissatisfied,Not satisfied at all,Good,Somewhat satisfied
2018,687,12,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,688,11,Moderately satisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,689,12,Moderately satisfied,Not satisfied at all,Excellent,Completely satisfied
2018,690,12,.i:  Inapplicable,Not satisfied at all,Poor,.i:  Inapplicable
2018,691,12,Moderately satisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,692,14,Very dissatisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,693,15,Very dissatisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,694,12,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,695,12,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,696,12,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,697,4,.i:  Inapplicable,Pretty well satisfied,Fair,Mostly satisfied
2018,698,12,Moderately satisfied,More or less satisfied,Excellent,Somewhat satisfied
2018,699,16,Moderately satisfied,More or less satisfied,Very good,Completely satisfied
2018,700,4,.i:  Inapplicable,Not satisfied at all,Good,Mostly satisfied
2018,701,13,Very satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,702,13,.i:  Inapplicable,Pretty well satisfied,Good,Completely satisfied
2018,703,12,.i:  Inapplicable,More or less satisfied,Excellent,Completely satisfied
2018,704,9,A little dissatisfied,More or less satisfied,Good,.i:  Inapplicable
2018,705,14,Moderately satisfied,More or less satisfied,Good,Mostly satisfied
2018,706,12,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,707,12,Very satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,708,12,Moderately satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,709,15,.i:  Inapplicable,More or less satisfied,Very good,Somewhat satisfied
2018,710,12,.i:  Inapplicable,More or less satisfied,Fair,.i:  Inapplicable
2018,711,9,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,712,16,Very satisfied,Not satisfied at all,Good,Mostly dissatisfied
2018,713,18,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,714,12,.i:  Inapplicable,Not satisfied at all,Fair,Neither satisfied nor dissatisfied
2018,715,11,Moderately satisfied,Not satisfied at all,Good,Completely satisfied
2018,716,18,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,717,13,Moderately satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,718,18,Very satisfied,Pretty well satisfied,Good,Mostly satisfied
2018,719,18,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,720,18,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,721,11,.n:  No answer,Pretty well satisfied,Good,Mostly satisfied
2018,722,16,Very satisfied,Pretty well satisfied,Very good,Somewhat satisfied
2018,723,15,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,724,16,Moderately satisfied,Pretty well satisfied,Excellent,Neither satisfied nor dissatisfied
2018,725,12,.d:  Do not Know/Cannot Choose,More or less satisfied,Very good,.i:  Inapplicable
2018,726,15,A little dissatisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,727,13,Moderately satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,728,14,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,729,12,A little dissatisfied,Not satisfied at all,Very good,Mostly satisfied
2018,730,12,Moderately satisfied,More or less satisfied,Fair,Somewhat satisfied
2018,731,14,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,732,13,Very satisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,733,18,.i:  Inapplicable,Pretty well satisfied,Good,.i:  Inapplicable
2018,734,10,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,735,16,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,736,14,Moderately satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,737,16,.i:  Inapplicable,Pretty well satisfied,Very good,Somewhat satisfied
2018,738,12,Very satisfied,Pretty well satisfied,Excellent,Mostly satisfied
2018,739,14,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,740,17,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,741,12,Very satisfied,More or less satisfied,Good,Mostly satisfied
2018,742,16,Very satisfied,Pretty well satisfied,Good,Mostly satisfied
2018,743,10,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,744,12,A little dissatisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,745,12,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,746,14,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,747,16,Very satisfied,Not satisfied at all,Poor,Somewhat satisfied
2018,748,12,Moderately satisfied,More or less satisfied,Fair,Mostly satisfied
2018,749,12,Very satisfied,Pretty well satisfied,Good,Mostly satisfied
2018,750,13,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,751,12,.i:  Inapplicable,Pretty well satisfied,Good,Mostly satisfied
2018,752,15,Moderately satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,753,10,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,754,12,A little dissatisfied,Not satisfied at all,Fair,Somewhat satisfied
2018,755,18,Very satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,756,11,Moderately satisfied,Not satisfied at all,Good,Somewhat satisfied
2018,757,20,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,758,16,.i:  Inapplicable,Pretty well satisfied,Excellent,Completely satisfied
2018,759,18,.i:  Inapplicable,Pretty well satisfied,Good,.i:  Inapplicable
2018,760,14,Moderately satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,761,16,.i:  Inapplicable,Pretty well satisfied,Excellent,Mostly satisfied
2018,762,16,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,763,16,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,764,16,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,765,15,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,766,18,Very satisfied,More or less satisfied,Good,Somewhat satisfied
2018,767,17,.i:  Inapplicable,Pretty well satisfied,Very good,.i:  Inapplicable
2018,768,9,Very satisfied,More or less satisfied,Poor,.i:  Inapplicable
2018,769,12,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,770,16,Moderately satisfied,Pretty well satisfied,Good,Somewhat satisfied
2018,771,19,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,772,16,.i:  Inapplicable,Pretty well satisfied,Fair,.i:  Inapplicable
2018,773,12,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,774,14,Moderately satisfied,Not satisfied at all,Excellent,.i:  Inapplicable
2018,775,14,Very satisfied,More or less satisfied,Good,Mostly satisfied
2018,776,14,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,777,14,.i:  Inapplicable,More or less satisfied,Excellent,.i:  Inapplicable
2018,778,8,Very satisfied,Pretty well satisfied,Good,Completely satisfied
2018,779,16,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,780,12,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,781,16,Very satisfied,More or less satisfied,Good,Mostly satisfied
2018,782,14,Very satisfied,Pretty well satisfied,Good,Mostly satisfied
2018,783,13,.i:  Inapplicable,Pretty well satisfied,Very good,Mostly satisfied
2018,784,17,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,785,12,Very satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,786,15,A little dissatisfied,Not satisfied at all,Excellent,.i:  Inapplicable
2018,787,12,Very satisfied,Not satisfied at all,Excellent,Completely satisfied
2018,788,8,A little dissatisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,789,12,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,790,14,A little dissatisfied,More or less satisfied,Good,Somewhat satisfied
2018,791,12,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,792,16,.i:  Inapplicable,Pretty well satisfied,Fair,Somewhat satisfied
2018,793,12,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,794,.d:  Do not Know/Cannot Choose,A little dissatisfied,More or less satisfied,Good,Somewhat satisfied
2018,795,20,.i:  Inapplicable,More or less satisfied,Poor,Somewhat dissatisfied
2018,796,15,Very satisfied,Not satisfied at all,Good,Completely satisfied
2018,797,12,Very satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,798,15,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,799,14,Very satisfied,Pretty well satisfied,Good,Somewhat satisfied
2018,800,15,.i:  Inapplicable,Not satisfied at all,Fair,.i:  Inapplicable
2018,801,3,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,802,12,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,803,12,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,804,16,A little dissatisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,805,7,Moderately satisfied,Not satisfied at all,Poor,.i:  Inapplicable
2018,806,12,.i:  Inapplicable,Not satisfied at all,Good,Mostly dissatisfied
2018,807,16,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,808,12,Moderately satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,809,16,Very satisfied,More or less satisfied,Fair,Mostly satisfied
2018,810,13,.i:  Inapplicable,More or less satisfied,Very good,Mostly satisfied
2018,811,16,Very satisfied,More or less satisfied,Good,Mostly satisfied
2018,812,18,Moderately satisfied,More or less satisfied,Fair,Neither satisfied nor dissatisfied
2018,813,16,Moderately satisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,814,15,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,815,12,Very satisfied,Not satisfied at all,Excellent,.i:  Inapplicable
2018,816,12,Very satisfied,More or less satisfied,Good,Somewhat satisfied
2018,817,12,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,818,12,Very satisfied,More or less satisfied,Fair,Somewhat satisfied
2018,819,12,A little dissatisfied,More or less satisfied,Good,.i:  Inapplicable
2018,820,12,Moderately satisfied,More or less satisfied,Excellent,Somewhat satisfied
2018,821,18,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,822,16,.i:  Inapplicable,More or less satisfied,Good,Mostly satisfied
2018,823,15,.i:  Inapplicable,More or less satisfied,Excellent,Somewhat satisfied
2018,824,12,.i:  Inapplicable,More or less satisfied,Good,Somewhat satisfied
2018,825,14,.n:  No answer,More or less satisfied,Good,Mostly satisfied
2018,826,16,Very satisfied,Not satisfied at all,Excellent,.i:  Inapplicable
2018,827,12,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,828,16,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,829,16,Moderately satisfied,More or less satisfied,Excellent,Somewhat satisfied
2018,830,12,.i:  Inapplicable,Pretty well satisfied,Good,Mostly satisfied
2018,831,16,Moderately satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,832,13,.i:  Inapplicable,Not satisfied at all,Poor,Somewhat satisfied
2018,833,12,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,834,12,Very satisfied,Not satisfied at all,Good,Somewhat satisfied
2018,835,19,Very satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,836,16,Very satisfied,Pretty well satisfied,Excellent,Mostly satisfied
2018,837,12,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,838,12,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,839,14,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,840,10,Very satisfied,Pretty well satisfied,Very good,Completely satisfied
2018,841,9,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,842,14,Very satisfied,Not satisfied at all,Good,Somewhat satisfied
2018,843,12,Very satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,844,15,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,845,14,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,846,12,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,847,12,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,848,14,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,849,14,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,850,14,Moderately satisfied,More or less satisfied,Excellent,Somewhat satisfied
2018,851,16,A little dissatisfied,Not satisfied at all,Excellent,Somewhat satisfied
2018,852,12,.i:  Inapplicable,Pretty well satisfied,Excellent,Neither satisfied nor dissatisfied
2018,853,6,.i:  Inapplicable,More or less satisfied,Fair,.i:  Inapplicable
2018,854,17,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,855,14,A little dissatisfied,More or less satisfied,Good,.i:  Inapplicable
2018,856,14,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,857,16,.i:  Inapplicable,More or less satisfied,Fair,.i:  Inapplicable
2018,858,16,Moderately satisfied,Pretty well satisfied,Very good,Completely satisfied
2018,859,17,A little dissatisfied,Pretty well satisfied,Very good,Completely satisfied
2018,860,12,.i:  Inapplicable,Not satisfied at all,Good,Mostly satisfied
2018,861,16,Moderately satisfied,More or less satisfied,Very good,Completely satisfied
2018,862,16,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,863,13,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,864,16,Very satisfied,Pretty well satisfied,Good,Completely satisfied
2018,865,12,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,866,12,A little dissatisfied,More or less satisfied,Good,.i:  Inapplicable
2018,867,15,A little dissatisfied,Not satisfied at all,Good,Somewhat dissatisfied
2018,868,13,.i:  Inapplicable,Pretty well satisfied,Good,Mostly satisfied
2018,869,20,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,870,15,Very satisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,871,8,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,872,12,Very satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,873,16,Moderately satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,874,16,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,875,12,.i:  Inapplicable,Pretty well satisfied,Very good,Mostly satisfied
2018,876,16,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,877,16,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,878,16,Very satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,879,12,.i:  Inapplicable,Not satisfied at all,Excellent,Completely satisfied
2018,880,17,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,881,17,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,882,16,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,883,14,Very satisfied,Not satisfied at all,Poor,.i:  Inapplicable
2018,884,16,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,885,16,A little dissatisfied,More or less satisfied,Good,.i:  Inapplicable
2018,886,12,Very satisfied,Not satisfied at all,Very good,Somewhat dissatisfied
2018,887,18,Very satisfied,Pretty well satisfied,Excellent,Somewhat satisfied
2018,888,12,.d:  Do not Know/Cannot Choose,More or less satisfied,Good,.i:  Inapplicable
2018,889,14,.i:  Inapplicable,More or less satisfied,Very good,Completely satisfied
2018,890,16,Moderately satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,891,12,.i:  Inapplicable,More or less satisfied,Very good,Somewhat satisfied
2018,892,16,Moderately satisfied,Not satisfied at all,Excellent,.i:  Inapplicable
2018,893,12,.i:  Inapplicable,Not satisfied at all,Good,Completely dissatisfied
2018,894,15,Very satisfied,Not satisfied at all,Good,Neither satisfied nor dissatisfied
2018,895,12,Moderately satisfied,More or less satisfied,Excellent,Somewhat satisfied
2018,896,13,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,897,16,.i:  Inapplicable,Not satisfied at all,Fair,.i:  Inapplicable
2018,898,12,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,899,12,.i:  Inapplicable,Not satisfied at all,Poor,Somewhat dissatisfied
2018,900,12,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,901,11,.i:  Inapplicable,Not satisfied at all,Excellent,Mostly satisfied
2018,902,12,Moderately satisfied,Not satisfied at all,Poor,Neither satisfied nor dissatisfied
2018,903,12,Very dissatisfied,Not satisfied at all,Fair,Completely dissatisfied
2018,904,12,Very satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,905,13,.i:  Inapplicable,More or less satisfied,Good,.i:  Inapplicable
2018,906,13,A little dissatisfied,Pretty well satisfied,Poor,Somewhat dissatisfied
2018,907,12,Moderately satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,908,12,Very satisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,909,14,.n:  No answer,More or less satisfied,Very good,.i:  Inapplicable
2018,910,20,.i:  Inapplicable,More or less satisfied,Fair,Somewhat satisfied
2018,911,12,Moderately satisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,912,14,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,913,15,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,914,14,Very satisfied,More or less satisfied,Good,Somewhat satisfied
2018,915,10,Moderately satisfied,Not satisfied at all,Poor,Neither satisfied nor dissatisfied
2018,916,14,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,917,11,Very dissatisfied,More or less satisfied,Fair,Mostly dissatisfied
2018,918,14,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,919,14,.i:  Inapplicable,More or less satisfied,Good,Somewhat satisfied
2018,920,12,.i:  Inapplicable,Not satisfied at all,Good,Somewhat dissatisfied
2018,921,20,.i:  Inapplicable,Pretty well satisfied,Good,Completely satisfied
2018,922,12,Moderately satisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,923,12,Very satisfied,More or less satisfied,Excellent,Mostly satisfied
2018,924,16,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,925,16,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,926,12,Moderately satisfied,Pretty well satisfied,Very good,Somewhat satisfied
2018,927,17,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,928,12,A little dissatisfied,More or less satisfied,Good,.i:  Inapplicable
2018,929,20,Very satisfied,Pretty well satisfied,Excellent,Mostly satisfied
2018,930,14,.i:  Inapplicable,More or less satisfied,Good,.i:  Inapplicable
2018,931,18,.i:  Inapplicable,Pretty well satisfied,Excellent,Mostly satisfied
2018,932,18,.i:  Inapplicable,Pretty well satisfied,Good,Completely satisfied
2018,933,19,.i:  Inapplicable,More or less satisfied,Good,.i:  Inapplicable
2018,934,16,Very satisfied,More or less satisfied,Excellent,Mostly satisfied
2018,935,14,Very satisfied,Not satisfied at all,Excellent,.i:  Inapplicable
2018,936,16,.i:  Inapplicable,Pretty well satisfied,Excellent,Completely satisfied
2018,937,17,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
